Invoice ID,Order ID,Customer Name,Item Total,ERP Tax,Invoice Total,Final Payable (Inclusive),Payment Status,Invoice Date
INV-1024,ORD_5024,Eugene Rivera,1495.88,269.26,1765.14,1915.14,PAID,2026-08-09T00:00:00Z
INV-1025,ORD_5025,Samantha Simon,3743.95,673.91,4417.86,4567.86,PAID,2026-08-10T00:00:00Z
INV-1026,ORD_5026,Katelyn Macias,1498.84,269.79,1768.63,1918.63,PAID,2026-08-11T00:00:00Z
INV-1027,ORD_5027,Samantha Watts,4189.58,754.12,4943.70,5093.70,PAID,2026-08-12T00:00:00Z
INV-1028,ORD_5028,Mary Mays,1165.96,209.87,1375.83,1525.83,PAID,2026-08-13T00:00:00Z
INV-1029,ORD_5029,Amanda Mitchell,4319.17,777.45,5096.62,5246.62,PAID,2026-08-14T00:00:00Z
INV-1030,ORD_5030,Logan Larsen,401.07,72.19,473.26,623.26,PAID,2026-08-15T00:00:00Z
INV-1031,ORD_5031,Kimberly Perez,3496.65,629.40,4126.05,4276.05,PAID,2026-08-01T00:00:00Z
INV-1032,ORD_5032,Tiffany Jones,2080.64,374.52,2455.16,2605.16,PAID,2026-08-02T00:00:00Z
INV-1033,ORD_5033,William Jones,565.41,101.77,667.18,817.18,PAID,2026-08-03T00:00:00Z
INV-1034,ORD_5034,Daniel Johnson,3999.61,719.93,4719.54,4869.54,PAID,2026-08-04T00:00:00Z
INV-1035,ORD_5035,Kevin Young,1530.59,275.51,1806.10,1956.10,PAID,2026-08-05T00:00:00Z
INV-1036,ORD_5036,Katherine Dixon,4725.29,850.55,5575.84,5725.84,PAID,2026-08-06T00:00:00Z
INV-1037,ORD_5037,James Wilson,660.43,118.88,779.31,929.31,PAID,2026-08-07T00:00:00Z
INV-1038,ORD_5038,Hannah Grant,2557.52,460.35,3017.87,3167.87,PAID,2026-08-08T00:00:00Z
INV-1039,ORD_5039,John Clark,3553.24,639.58,4192.82,4342.82,PAID,2026-08-09T00:00:00Z
INV-1040,ORD_5040,Erica Bell,1977.15,355.89,2333.04,2483.04,PAID,2026-08-10T00:00:00Z
INV-1041,ORD_5041,Judy Bowman,2226.10,400.70,2626.80,2776.80,PAID,2026-08-11T00:00:00Z
INV-1042,ORD_5042,Jacqueline Reed,4838.31,870.90,5709.21,5859.21,PAID,2026-08-12T00:00:00Z
INV-1043,ORD_5043,Robert Williams,1165.34,209.76,1375.10,1525.10,PAID,2026-08-13T00:00:00Z
INV-1044,ORD_5044,Tanya Reyes,4368.61,786.35,5154.96,5304.96,PAID,2026-08-14T00:00:00Z
INV-1045,ORD_5045,Ashley Miller,929.75,167.36,1097.11,1247.11,PAID,2026-08-15T00:00:00Z
INV-1046,ORD_5046,Connor Weeks,1717.25,309.11,2026.36,2176.36,PAID,2026-08-01T00:00:00Z
INV-1047,ORD_5047,Jennifer Martin,2410.05,433.81,2843.86,2993.86,PAID,2026-08-02T00:00:00Z
INV-1048,ORD_5048,Mark Thompson,1161.36,209.04,1370.40,1520.40,PAID,2026-08-03T00:00:00Z
INV-1049,ORD_5049,James Oliver,2452.95,441.53,2894.48,3044.48,PAID,2026-08-04T00:00:00Z
INV-1050,ORD_5050,Jesse Potts,4628.85,833.19,5462.04,5612.04,PAID,2026-08-05T00:00:00Z
INV-1051,ORD_5051,Bradley Underwood,1173.69,211.26,1384.95,1534.95,PAID,2026-08-14T00:00:00Z
INV-1052,ORD_5052,Timothy Williamson,781.00,140.58,921.58,1071.58,PAID,2026-08-14T00:00:00Z
INV-1053,ORD_5053,Jay Newton,1948.15,350.66,2298.81,2448.81,PAID,2026-08-17T00:00:00Z
INV-1054,ORD_5054,Austin Mejia,2639.38,475.08,3114.46,3264.46,PAID,2026-08-18T00:00:00Z
INV-1055,ORD_5055,Darrell Gilbert,1000.00,180.00,1180.00,1330.00,PAID,2026-08-19T00:00:00Z
INV-1056,ORD_5056,Diane Smith,2000.00,360.00,2360.00,2510.00,PAID,2026-08-19T00:00:00Z
INV-1058,ORD_5058,Kimberly Harris,1000.00,180.00,1180.00,1330.00,PAID,2026-08-20T00:00:00Z
INV-1059,ORD_5059,Crystal Herring,2000.00,360.00,2360.00,2510.00,PAID,2026-08-20T00:00:00Z
INV-1061,ORD_5061,Thomas Alexander,4237.29,762.71,5000.00,5150.00,PAID,2026-08-21T00:00:00Z
INV-1063,ORD_5063,Brandy Wright,4237.29,762.71,5000.00,5150.00,PAID,2026-08-22T00:00:00Z
INV-1065,ORD_5065,Brittany Cooke,636.25,114.53,750.78,900.78,PAID,2026-08-23T00:00:00Z
INV-1066,ORD_5066,Robin Jensen,828.45,149.12,977.57,1127.57,PAID,2026-08-24T00:00:00Z
INV-1067,ORD_5067,Ashley Gonzales,863.56,155.44,1019.00,1169.00,PAID,2026-08-25T00:00:00Z
INV-1068,ORD_5068,Sarah Gonzalez MD,863.56,155.44,1019.00,1169.00,PAID,2026-08-26T00:00:00Z
INV-1069,ORD_5069,Heather Gates,820.76,147.74,968.50,1118.50,PAID,2026-08-27T00:00:00Z
INV-1069,ORD_5069,Heather Gates,820.76,147.74,968.50,1118.50,PAID,2026-08-27T00:00:00Z
INV-1070,ORD_5070,Joy Singh,1201.28,216.23,1417.51,1567.51,PAID,2026-08-28T00:00:00Z
INV-1070,ORD_5070,Joy Singh,1201.28,216.23,1417.51,1567.51,PAID,2026-08-28T00:00:00Z
INV-1071,ORD_5071,Joshua Thomas,3332.34,599.82,3932.16,4082.16,PAID,2026-08-29T00:00:00Z
INV-1072,ORD_5072,Nathan Lopez,3695.09,665.12,4360.21,4510.21,PAID,2026-08-30T00:00:00Z
INV-1073,ORD_5073,Heather Johnson,823.85,148.29,972.14,1122.14,PAID,2026-08-30T00:00:00Z
INV-1074,ORD_5074,Kenneth Anderson,717.45,129.14,846.59,996.59,PAID,2026-08-31T00:00:00Z
INV-1075,ORD_5075,David Sullivan,2057.22,370.30,2427.52,2577.52,PAID,2026-08-31T00:00:00Z
INV-1077,ORD_5077,Douglas Ramirez,1536.27,276.53,1812.80,1962.80,PAID,2026-09-01T00:00:00Z
